ªELA001ª~ªª~ªelan PET 500mlx24ª~ªELAN PET 500MLX24ª~ªª~ªª~ªCASEª~ª0ª~ªFINISHEDª~ªª~ªª~ªYesª~ª0ª~ª0ª~ª0ª~ªProfit=Price-Costª~ª0ª~ªFIFOª~ª0.8ª~ª0.8ª~ª2.06379ª~ª0ª~ªª~ªª~ªª~ª0ª~ª0ª~ª0ª~ªª~ª0ª~ª0ª~ªª~ª0ª~ª0ª~ª0ª~ª0ª~ªª~ªª~ªª~ª0ª~ªª~ª0ª~ª0ª~ª0ª~ªNoª~ª14/08/14ª~ªNoª~ªª~ªVAT 25%ª~ªª~ªYesª~ªª~ªª~ªVAT 25%ª~ªOptionalª~ªª~ªª~ª0ª~ª0ª~ªª~ªª~ª0.80ª~ª0.00ª~ª0.00ª~ª0ª~ªNoª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ªª~ªManualª~ªPurchaseª~ª1ª~ªCASEª~ªCASEª~ªª~ª ª~ªNoª~ªMake-to-Stockª~ªª~ªª~ªNoª~ªELANª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªYesª~ª0.5ª~ª0.1ª~ªYesª~ª5353ª~ª28.8ª~ª5.04ª~ª3.84ª~ªª~ªª~ª0.8ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ªNoneª~ªNoª~ª5060148620299ª
ªELA002ª~ªª~ªelan 1.5Lx6ª~ªELAN 1.5LX6ª~ªª~ªª~ªCASEª~ª0ª~ªFINISHEDª~ªª~ªª~ªYesª~ª0ª~ª0ª~ª0ª~ªProfit=Price-Costª~ª0ª~ªFIFOª~ª0.4ª~ª0ª~ª1.96999ª~ª0ª~ªV00001ª~ªª~ªª~ª0ª~ª0ª~ª0ª~ªª~ª0ª~ª0ª~ªª~ª0ª~ª0ª~ª0ª~ª0ª~ªª~ªª~ªª~ª0ª~ªª~ª0ª~ª0ª~ª0ª~ªNoª~ª21/07/14ª~ªNoª~ªª~ªVAT 25%ª~ªª~ªNoª~ªª~ªª~ªVAT 25%ª~ªOptionalª~ªª~ªª~ª0ª~ª0ª~ªª~ªª~ª0.00ª~ª0.00ª~ª0.00ª~ª0ª~ªNoª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ªª~ªManualª~ªPurchaseª~ª1ª~ªCASEª~ªCASEª~ªª~ª ª~ªNoª~ªMake-to-Stockª~ªª~ªª~ªNoª~ªELANª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªYesª~ª0ª~ª0ª~ªYesª~ª5354ª~ª14.4ª~ª1.56ª~ª2.88ª~ªª~ªª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ªNoneª~ªNoª~ª5060148620411ª
ªELA003ª~ªª~ªelan PET 500ml SPx24ª~ªELAN PET 500ML SPX24ª~ªª~ªª~ªCASEª~ª0ª~ªFINISHEDª~ªª~ªª~ªYesª~ª0ª~ª0ª~ª0ª~ªProfit=Price-Costª~ª0ª~ªFIFOª~ª0ª~ª0ª~ª0ª~ª0ª~ªª~ªª~ªª~ª0ª~ª0ª~ª0ª~ªª~ª0ª~ª0ª~ªª~ª0ª~ª0ª~ª0ª~ª0ª~ªª~ªª~ªª~ª0ª~ªª~ª0ª~ª0ª~ª0ª~ªNoª~ª01/12/14ª~ªNoª~ªª~ªVAT 25%ª~ªª~ªNoª~ªª~ªª~ªVAT 25%ª~ªOptionalª~ªª~ªª~ª0ª~ª0ª~ªª~ªª~ª0.00ª~ª0.00ª~ª0.00ª~ª0ª~ªNoª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ªª~ªManualª~ªPurchaseª~ª1ª~ªCASEª~ªCASEª~ªª~ª ª~ªNoª~ªMake-to-Stockª~ªª~ªª~ªNoª~ªELANª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªYesª~ª0ª~ª0ª~ªYesª~ª5353ª~ª28.8ª~ª5.04ª~ª3.84ª~ªª~ªª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ªNoneª~ªNoª~ªª
ªEL010ª~ªª~ª‚lan Glass Still 750mlx12ª~ªLAN GLASS STILL 750MLX12ª~ªª~ªª~ªCASEª~ª0ª~ªFINISHEDª~ªª~ªª~ªYesª~ª0ª~ª0ª~ª65ª~ªProfit=Price-Costª~ª36.49878ª~ªFIFOª~ª41.27579ª~ª42.21ª~ª41.27583ª~ª0ª~ªª~ªª~ªª~ª0ª~ª600ª~ª600ª~ªª~ª0ª~ª0ª~ªª~ª0ª~ª0ª~ª0ª~ª0ª~ªª~ªª~ªª~ª0ª~ªª~ª0ª~ª0ª~ª0ª~ªNoª~ª16/10/14ª~ªNoª~ªª~ªVAT 25%ª~ªª~ªNoª~ªITEMª~ªª~ªVAT 25%ª~ªOptionalª~ªª~ªª~ª0ª~ª0ª~ªª~ªª~ª42.21ª~ª0.00ª~ª0.00ª~ª0ª~ªNoª~ª0ª~ª600ª~ª0ª~ª0ª~ª0ª~ª4Wª~ªManualª~ªPurchaseª~ª1ª~ªCASEª~ªCASEª~ªª~ª ª~ªNoª~ªMake-to-Orderª~ªª~ªª~ªNoª~ªELANª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªYesª~ª0ª~ª0ª~ªYesª~ª5352ª~ª9.6ª~ª6.6ª~ª3.84ª~ªª~ªª~ª42.21ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ªNoneª~ªNoª~ª96105511ª
ªEL011ª~ªª~ª‚lan Glass Sparkling 750mlx12ª~ªLAN GLASS SPARKLING 750MLX12ª~ªª~ªª~ªCASEª~ª0ª~ªFINISHEDª~ªª~ªª~ªYesª~ª0ª~ª0ª~ª0ª~ªProfit=Price-Costª~ª0ª~ªFIFOª~ª41.27579ª~ª0ª~ª32.83308ª~ª0ª~ªª~ªª~ªª~ª0ª~ª0ª~ª720ª~ªª~ª0ª~ª0ª~ªª~ª0ª~ª0ª~ª0ª~ª0ª~ªª~ªª~ªª~ª0ª~ªª~ª0ª~ª0ª~ª0ª~ªNoª~ª16/10/14ª~ªNoª~ªª~ªVAT 25%ª~ªª~ªNoª~ªITEMª~ªª~ªVAT 25%ª~ªOptionalª~ªª~ªª~ª0ª~ª0ª~ªª~ªª~ª0.00ª~ª0.00ª~ª0.00ª~ª0ª~ªNoª~ª0ª~ª720ª~ª720ª~ª0ª~ª0ª~ª4Wª~ªManualª~ªPurchaseª~ª1ª~ªCASEª~ªCASEª~ªª~ª ª~ªNoª~ªMake-to-Orderª~ªª~ªELAN GLASSª~ªNoª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªYesª~ª0ª~ª0ª~ªYesª~ª5352ª~ª9.6ª~ª6.6ª~ª3.84ª~ªª~ªª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ªNoneª~ªNoª~ª96105504ª
ªEL012ª~ªª~ª‚lan Glass Still 330mlx24ª~ªLAN GLASS STILL 330MLX24ª~ªª~ªª~ªCASEª~ª0ª~ªFINISHEDª~ªª~ªª~ªYesª~ª0ª~ª0ª~ª0ª~ªProfit=Price-Costª~ª0ª~ªFIFOª~ª32.83306ª~ª0ª~ª41.2758ª~ª0ª~ªª~ªª~ªª~ª720ª~ª720ª~ª0ª~ªª~ª0ª~ª0ª~ªª~ª0ª~ª0ª~ª0ª~ª0ª~ªª~ªª~ªª~ª0ª~ªª~ª0ª~ª0ª~ª0ª~ªNoª~ª16/10/14ª~ªNoª~ªª~ªVAT 25%ª~ªª~ªNoª~ªITEMª~ªª~ªVAT 25%ª~ªOptionalª~ªª~ªª~ª0ª~ª0ª~ªª~ªª~ª0.00ª~ª0.00ª~ª0.00ª~ª0ª~ªNoª~ª0ª~ª720ª~ª0ª~ª0ª~ª0ª~ª4Wª~ªManualª~ªPurchaseª~ª1ª~ªCASEª~ªCASEª~ªª~ª ª~ªNoª~ªMake-to-Orderª~ªª~ªª~ªNoª~ªELANª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªYesª~ª0ª~ª0ª~ªYesª~ª5352ª~ª19.2ª~ª9.12ª~ª2.4ª~ªª~ªª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ªNoneª~ªNoª~ª96105498ª
ªEL013ª~ªª~ª‚lan Glass Sparkling 330mlx24ª~ªLAN GLASS SPARKLING 330MLX24ª~ªª~ªª~ªCASEª~ª0ª~ªFINISHEDª~ªª~ªª~ªYesª~ª0ª~ª0ª~ª0ª~ªProfit=Price-Costª~ª0ª~ªFIFOª~ª32.83299ª~ª0ª~ª41.27582ª~ª0ª~ªª~ªª~ªª~ª720ª~ª0ª~ª720ª~ªª~ª0ª~ª0ª~ªª~ª0ª~ª0ª~ª0ª~ª0ª~ªª~ªª~ªª~ª0ª~ªª~ª0ª~ª0ª~ª0ª~ªNoª~ª16/10/14ª~ªNoª~ªª~ªVAT 25%ª~ªª~ªNoª~ªITEMª~ªª~ªVAT 25%ª~ªOptionalª~ªª~ªª~ª0ª~ª0ª~ªª~ªª~ª0.00ª~ª0.00ª~ª0.00ª~ª0ª~ªNoª~ª0ª~ª720ª~ª0ª~ª0ª~ª0ª~ª4Wª~ªManualª~ªPurchaseª~ª1ª~ªCASEª~ªCASEª~ªª~ª ª~ªNoª~ªMake-to-Orderª~ªª~ªª~ªNoª~ªELANª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªYesª~ª0ª~ª0ª~ªYesª~ª5352ª~ª19.2ª~ª9.12ª~ª2.4ª~ªª~ªª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ªNoneª~ªNoª~ª96105474ª
ªPL211ª~ªª~ªPeela NFC 100% Orange 250mlx18ª~ªPEELA NFC 100% ORANGE 250MLX18ª~ªª~ªª~ªCASEª~ª0ª~ªFINISHEDª~ªª~ªª~ªYesª~ª0ª~ª0ª~ª0ª~ªProfit=Price-Costª~ª0ª~ªFIFOª~ª59.09941ª~ª0ª~ª59.09941ª~ª0ª~ªª~ªª~ªª~ª0ª~ª0ª~ª0ª~ªª~ª0ª~ª0ª~ªª~ª0ª~ª0ª~ª0ª~ª0ª~ªª~ªª~ªª~ª0ª~ªª~ª0ª~ª0ª~ª0ª~ªNoª~ª26/06/14ª~ªNoª~ªª~ªVAT 25%ª~ªª~ªNoª~ªª~ªª~ªVAT 25%ª~ªOptionalª~ªª~ªª~ª0ª~ª0ª~ªª~ªª~ª0.00ª~ª0.00ª~ª0.00ª~ª0ª~ªNoª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ªª~ªManualª~ªPurchaseª~ª1ª~ªCASEª~ªCASEª~ªª~ª ª~ªNoª~ªMake-to-Stockª~ªª~ªª~ªNoª~ªPEELAª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªYesª~ª0ª~ª0ª~ªNoª~ªª~ª0ª~ª0ª~ª0ª~ªª~ªª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ªNoneª~ªNoª~ªª
ªPL212ª~ªª~ªPeela NFC 100% Apple 250mlx18ª~ªPEELA NFC 100% APPLE 250MLX18ª~ªª~ªª~ªCASEª~ª0ª~ªFINISHEDª~ªª~ªª~ªYesª~ª0ª~ª0ª~ª0ª~ªProfit=Price-Costª~ª0ª~ªFIFOª~ª50.65676ª~ª0ª~ª50.65676ª~ª0ª~ªª~ªª~ªª~ª0ª~ª0ª~ª0ª~ªª~ª0ª~ª0ª~ªª~ª0ª~ª0ª~ª0ª~ª0ª~ªª~ªª~ªª~ª0ª~ªª~ª0ª~ª0ª~ª0ª~ªNoª~ª26/06/14ª~ªNoª~ªª~ªVAT 25%ª~ªDEª~ªNoª~ªª~ªª~ªVAT 25%ª~ªOptionalª~ªª~ªª~ª0ª~ª0ª~ªª~ªª~ª0.00ª~ª0.00ª~ª0.00ª~ª0ª~ªNoª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ªª~ªManualª~ªPurchaseª~ª1ª~ªCASEª~ªCASEª~ªª~ª ª~ªNoª~ªMake-to-Stockª~ªª~ªª~ªNoª~ªPEELAª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªYesª~ª0ª~ª0ª~ªNoª~ªª~ª0ª~ª0ª~ª0ª~ªª~ªª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ªNoneª~ªNoª~ªª
ªSER001ª~ªª~ª30x30 White Serviettes 1plyª~ª30X30 WHITE SERVIETTES 1PLYª~ªª~ªª~ªCASEª~ª0ª~ªFINISHEDª~ªª~ªª~ªYesª~ª0ª~ª0ª~ª0ª~ªProfit=Price-Costª~ª0ª~ªFIFOª~ª40.3377ª~ª7.17ª~ª67.2608ª~ª0ª~ªª~ªª~ªª~ª0ª~ª0ª~ª0ª~ªª~ª0ª~ª0ª~ªª~ª0ª~ª0ª~ª0ª~ª0ª~ªª~ªª~ªª~ª0ª~ªª~ª0ª~ª0ª~ª0ª~ªNoª~ª01/12/14ª~ªNoª~ªª~ªVAT 25%ª~ªª~ªNoª~ªª~ªª~ªVAT 25%ª~ªOptionalª~ªª~ªª~ª0ª~ª0ª~ªª~ªª~ª7.17ª~ª0.00ª~ª0.00ª~ª0ª~ªNoª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ªª~ªManualª~ªPurchaseª~ª1ª~ªCASEª~ªCASEª~ªª~ª ª~ªNoª~ªMake-to-Stockª~ªª~ªª~ªNoª~ªSERVIETTESª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªª~ªYesª~ª0ª~ª0ª~ªNoª~ªª~ª0ª~ª0ª~ª0ª~ªª~ªª~ª7.17ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ª0ª~ªNoneª~ªNoª~ªª
