Vestro
"Posted Purchase Invoices and Debit Notes -summary"
"From 01/01/2021 to 13/12/2021"

"Order Date","PO/DN No.","PI/P. DN No.","Doc. Type","Supplier No.","Supplier Name","Req. Rcpt./Delivery Date","Receipt/Dispatch Date","Amount (LCY)","Amount Incl.VAT (LCY)","Shipping City"
30/04/2021,DN0006,PDN0006,"Debit Note",SUP0025,"Burhill Logistics Ltd",,25/06/2021,65,65,Felixstowe
03/06/2021,DN0004,PDN0005,"Debit Note",SUP0025,"Burhill Logistics Ltd",,25/06/2021,180,180,Felixstowe
14/06/2021,DN0005,PDN0004,"Debit Note",SUP0025,"Burhill Logistics Ltd",,25/06/2021,309.77,309.77,Felixstowe
02/07/2021,DN0007,PDN0007,"Debit Note",SUP0025,"Burhill Logistics Ltd",,14/07/2021,1097.5,1317,Felixstowe
31/07/2021,DN0014,PDN0014,"Debit Note",SUP0025,"Burhill Logistics Ltd",,02/10/2021,2001.99,2001.99,Felixstowe
02/08/2021,DN0008,PDN0008,"Debit Note",SUP0025,"Burhill Logistics Ltd",,25/09/2021,4690,5628,Felixstowe
05/08/2021,DN0010,PDN0010,"Debit Note",SUP0025,"Burhill Logistics Ltd",,02/10/2021,400,480,Felixstowe
05/08/2021,DN0011,PDN0011,"Debit Note",SUP0025,"Burhill Logistics Ltd",,02/10/2021,255,306,Felixstowe
05/08/2021,DN0012,PDN0012,"Debit Note",SUP0025,"Burhill Logistics Ltd",,02/10/2021,300,360,Felixstowe
05/08/2021,DN0013,PDN0013,"Debit Note",SUP0025,"Burhill Logistics Ltd",,02/10/2021,340,408,Felixstowe
13/09/2021,DN0009,PDN0009,"Debit Note",SUP0025,"Burhill Logistics Ltd",,26/09/2021,152.5,183,Felixstowe
28/09/2021,DN0015,PDN0015,"Debit Note",SUP0025,"Burhill Logistics Ltd",,02/10/2021,1768,2121.6,Felixstowe
28/09/2021,DN0016,PDN0016,"Debit Note",SUP0025,"Burhill Logistics Ltd",,02/10/2021,12.5,15,Felixstowe
11/11/2021,DN0018,PDN0018,"Debit Note",SUP0025,"Burhill Logistics Ltd",,30/11/2021,340,340,Felixstowe
15/11/2021,DN0017,PDN0017,"Debit Note",SUP0025,"Burhill Logistics Ltd",,26/11/2021,5,6,Felixstowe
29/11/2021,DN0019,PDN0019,"Debit Note",SUP0025,"Burhill Logistics Ltd",,30/11/2021,22.5,27,Felixstowe
,,,,,,,"Total Debit Note (LCY)",11939.76,13748.36,
,,,,,,,"Total (LCY)",1062006.07,1215670.11,
